Glyma_ID	Description	Initial_protein_contentAmb	Initial_protein_contentEle	mRNA_ele	mRNA_Amb
Glyma.05G149400	CAB	1.27908	0.757622718	2142.055538	3616.391553
Glyma.06G017900	GO	0.001346901	0.001253674	8626.373738	9267.856693
Glyma.06G094300	G6PI	0.039783002	0.049825221	158.8793916	126.8574243
Glyma.06G323700	SPS	0.041627585	0.072052887	969.7355014	560.2516235
Glyma.07G019700	PSAVI-1, Chloro	0.69345	0.591096133	7631.807523	8953.326931
Glyma.07G028500	Diphosphatase	0.15796129	0.211354179	85.96518031	64.24841401
Glyma.07G142700	FBPase	5.281887818	4.414585373	4344.989828	5198.619327
Glyma.08G044100	PGM, Cyto	0.165829146	0.214437833	2125.495314	1643.688837
Glyma.08G074000	CAB	1.27908	0.482336519	355.0157928	941.4456145
Glyma.08G087100	Thioredoxin O1, Mito	5.85	2.953705067	1593.723283	3156.469923
Glyma.08G088000	TRX	1.863	1.653993852	11.3135804	12.74321562
Glyma.08G097300	GO	0.99961711	1.328996635	303.9086686	228.5877158
Glyma.08G126800	FDX1, Chloro	0.88695	0.842497172	10074.84408	10606.42487
Glyma.08G165400	PGK	2.5117348	2.72759739	2872.26909	2644.957153
Glyma.08G165500	PGK	2.5117348	2.346879313	8111.055057	8680.812489
Glyma.08G173700	PSBR, Chloro	0.65637	0.638717136	15647.68309	16080.15374
Glyma.08G302600	SGAT	3.578866379	3.365587497	11027.9244	11726.76922
Glyma.09G087700	PSAK, Chloro	0.59427	0.461413038	5123.310938	6598.491461
Glyma.09G154700	CAB26, Chloro	1.27908	0.951294693	4517.872975	6074.585518
Glyma.09G250800	PSAXI, Chloro	1.032165	0.681551407	2520.495594	3817.125614
Glyma.09G255200	HPR	0.553026581	0.594500599	251.0239776	233.5118456
Glyma.10G042000	PSAIV-A, Chloro	0.695565	0.638385201	9645.594887	10509.54533
Glyma.10G086600	SPP	0.026641654	0.036772905	774.9533314	561.4470333
Glyma.10G161600	TRP26	5.85	5.381113888	422.2924702	459.0891407
Glyma.10G210700	PGM	0.165829146	0.113547014	239.359054	349.570684
Glyma.10G249000	PSAII-1, Chloro	0.241695	0.218963241	9841.437104	10863.12993
Glyma.10G268500	Aldolase	1.312651261	1.717945896	153.8331106	117.5410862
Glyma.10G293500	Transketolase	7.23992103	6.659257767	4996.254601	5431.909985
Glyma.11G100800	HCF136, Chloro	0.12852	0.104382643	734.8658352	904.7956093
Glyma.11G169700	PFK	0.007142857	0.006488433	208.2728379	229.2792641
Glyma.11G226900	SBPase	0.264155289	0.254390311	6163.082286	6399.657189
Glyma.12G199400	PET	0.7075224	0.660848732	7745.021221	8292.027717
Glyma.12G202500	PSB27-1, Chloro	0.847575	0.442078381	511.691778	981.0413213
Glyma.12G215100	PSBQ Like - 2, Chloro	1.118385	0.652923277	184.8735363	316.6678186
Glyma.13G028200	psbA	1.752165	1.416192719	1129.485127	1397.439968
Glyma.13G204800	APTC1	2.781818182	2.212152912	3890.935808	4892.914915
Glyma.13G222300	GHMT	37.42118172	46.64974598	718.0744448	576.0201631
Glyma.14G067000	RCA, Chloro	1.2	0.971066061	547.9847088	677.1749901
Glyma.15G012500	GLK	1.343210077	0.952027569	385.6634548	544.1302917
Glyma.15G114600	Cytochrome B	2.0124	1.625512577	2900.522536	3590.874431
Glyma.15G136200	Ri5PI	0.077034884	0.064798538	192.6593045	229.0404626
Glyma.16G168000	FBPase	0.465302167	0.395812911	665.255877	782.0487732
Glyma.17G015600	AGPase	0.102632112	0.100289833	620.7715355	635.2697188
Glyma.19G017200	G6PI, Cyto	1.727272727	0.970755903	57.88310172	102.9918053
Glyma.19G022900	SS	0.102632112	0.070707018	320.8978046	465.7871348
Glyma.19G046800	RuBisCO	107.0869611	95.42820347	175.7323187	197.2020775
Glyma.19G089100	PRK	4.815447396	6.327979294	185.9004379	141.465978
Glyma.19G251000	VDE, Chloro	0.163	0.095991709	3050.206704	5179.444094
