Glyma_ID	Description	Initial_protein_contentAmb	Initial_protein_contentEle	mRNA_ele	mRNA_Amb	Averages_Elevated	Averages_ambient	mRNA_eleMutant	mRNA_ambMutant	MutantEleByWTAmb	MutantAmbByWTAmb	Ele:Amb	EleMutant:Amb	AmbMutant:Amb
Glyma.08G074000	CAB	1.27908	0.48233651899999996	355.01579280000004	941.4456144999999	0.0	0.0	355.01579280000004	941.4456144999999	0.4823365187120154	1.27908	0.6139545636094306	0.6139544855241118	0.9999990392154561
Glyma.08G087100	Thioredoxin O1, Mito	5.85	2.953705067	1593.723283	3156.469923	0.0	0.0	1593.723283	3156.469923	2.9537050670480918	5.8500000000000005	0.7105605740420491	0.7105605740478287	0.9999999999999629
Glyma.08G088000	TRX	1.8630000000000002	1.653993852	11.313580400000001	12.74321562	0.0	0.0	11.313580400000001	12.74321562	1.6539938516083903	1.8630000000000002	0.9422312585183632	0.9422312583973232	0.999999999969382
Glyma.08G097300	GO	0.99961711	1.328996635	303.9086686	228.58771580000004	0.0	0.0	303.9086686	228.58771580000004	1.3289966346034054	0.99961711	1.1530494088983705	1.1530494086277747	0.999999999833551
Glyma.08G126800	FDX1, Chloro	0.88695	0.8424971720000001	10074.844079999999	10606.42487	0.0	0.0	10074.844079999999	10606.42487	0.842497171882197	0.88695	0.9746096430899828	0.9746096430218204	1.0
Glyma.08G165400	PGK	2.5117347999999997	2.72759739	2872.26909	2644.9571530000003	0.0	0.0	2872.26909	2644.9571530000003	2.7275973904282487	2.5117347999999997	1.0421092796640434	1.042109279745895	0.9999999999999962
Glyma.08G165500	PGK	2.5117347999999997	2.346879313	8111.055057	8680.812489	-12.75785436	-12.85074178	7076.258465768525	7565.263691632619	2.047467868334624	2.1889582466536006	0.9666243481755274	0.9028576963103359	0.9335343205911336
Glyma.08G173700	PSBR, Chloro	0.65637	0.638717136	15647.68309	16080.15374	0.0	0.0	15647.68309	16080.15374	0.6387171364061411	0.65637	0.9864538992149721	0.9864538995287674	1.0
Glyma.08G302600	SGAT	3.578866379	3.365587497	11027.9244	11726.76922	0.0	0.0	11027.9244	11726.76922	3.365587496853097	3.578866379	0.9697443035173199	0.9697443034961554	1.0
Glyma.09G087700	PSAK, Chloro	0.59427	0.461413038	5123.3109380000005	6598.491461	0.0	0.0	5123.3109380000005	6598.491461	0.46141303798305544	0.59427	0.8811524802803958	0.8811524794567686	0.9999999970503218
Glyma.09G154700	CAB26, Chloro	1.27908	0.951294693	4517.872975	6074.585518	0.0	0.0	4517.872975	6074.585518	0.9512946929036881	1.27908	0.8623901832816596	0.8623901814964746	0.9999999929566874
Glyma.09G250800	PSAXI, Chloro	1.032165	0.681551407	2520.495594	3817.125614	0.0	0.0	2520.495594	3817.125614	0.6815514074882131	1.032165	0.8125815948969545	0.8125815949828366	0.9999999990101902
Glyma.09G255200	HPR	0.553026581	0.594500599	251.0239776	233.5118456	0.0	0.0	251.0239776	233.5118456	0.5945005989929472	0.553026581	1.0368253312178008	1.0368253312116498	1.0
Glyma.10G042000	PSAIV-A, Chloro	0.695565	0.6383852010000001	9645.594887000001	10509.545329999999	0.0	0.0	9645.594887000001	10509.545329999999	0.6383852009681713	0.695565	0.9580141451493653	0.9580141421615854	0.9999999914831392
Glyma.10G086600	SPP	0.026641654	0.036772905	774.9533313999999	561.4470332999999	0.0	0.0	774.9533313999999	561.4470332999999	0.03677290518387024	0.026641654	1.1748561142636211	1.1748561172009029	1.0
Glyma.10G161600	TRP26	5.85	5.381113888	422.29247019999997	459.0891407	0.0	0.0	422.29247019999997	459.0891407	5.381113887606272	5.85	0.9590837020464753	0.9590837020113848	0.9999999999999999
Glyma.10G210700	PGM	0.16582914599999998	0.113547014	239.35905400000001	349.57068399999997	0.0	0.0	239.35905400000001	349.57068399999997	0.1135470144635695	0.16582914599999998	0.8274731734592494	0.8274731751484584	1.0
Glyma.10G249000	PSAII-1, Chloro	0.241695	0.218963241	9841.437104	10863.12993	0.0	0.0	9841.437104	10863.12993	0.2189632413658593	0.24169499999999997	0.9518047739035241	0.9518047746986628	0.9999999999994562
Glyma.10G268500	Aldolase	1.3126512609999998	1.717945896	153.8331106	117.5410862	27.70209952	33.24742823	196.44811199312366	156.62047447510741	2.1938529774182314	1.7490740469111645	1.1440152899543186	1.2928027294923015	1.1543334888464196
Glyma.10G293500	Transketolase	7.23992103	6.659257767000001	4996.254601	5431.909985	-13.55826543	-13.90182183	4318.8491406378325	4676.77553691932	5.756377923243746	6.2334401077766985	0.9590488126065241	0.8916464626052065	0.9278704780594589
Glyma.11G100800	HCF136, Chloro	0.12852	0.10438264300000001	734.8658352000001	904.7956093	0.0	0.0	734.8658352000001	904.7956093	0.10438264307335869	0.12852	0.9012134898433853	0.9012134897774309	0.9999999987224523
Glyma.11G169700	PFK	0.007142857	0.006488433	208.27283789999998	229.27926409999998	0.0	0.0	208.27283789999998	229.27926409999998	0.0064884328024318715	0.007142857	0.9530849049688456	0.9530848904567933	0.9999999999999788
Glyma.11G226900	SBPase	0.26415528899999996	0.25439031100000004	6163.082286	6399.6571890000005	0.0	0.0	6163.082286	6399.6571890000005	0.25439031096656295	0.26415528899999996	0.9813328840240739	0.9813328839593698	0.9999999999994942
Glyma.12G199400	PET	0.7075224	0.660848732	7745.021220999999	8292.027717	0.0	0.0	7745.021220999999	8292.027717	0.6608487319812525	0.7075224	0.9664408221209779	0.9664408221072639	0.9999999999999999
Glyma.12G202500	PSB27-1, Chloro	0.847575	0.442078381	511.691778	981.0413212999999	0.0	0.0	511.691778	981.0413212999999	0.4420783807186104	0.847575	0.7220705071788325	0.7220704633159473	0.9999996638696486
Glyma.12G215100	PSBQ Like - 2, Chloro	1.118385	0.6529232770000001	184.8735363	316.66781860000003	0.0	0.0	184.8735363	316.66781860000003	0.6529232771709107	1.118385	0.7640555559108837	0.7640555559992016	0.9999999999325562
Glyma.13G028200	psbA	1.7521650000000002	1.416192719	1129.485127	1397.439968	0.0	0.0	1129.485127	1397.439968	1.4161927187343444	1.7521650000000002	0.8989559227284641	0.8989563267982805	0.9999999258023113
Glyma.13G204800	APTC1	2.781818182	2.212152912	3890.9358079999997	4892.914915	0.0	0.0	3890.9358079999997	4892.914915	2.2121529116533307	2.781818182	0.8917428134006677	0.8917428133307865	0.999999999999991
Glyma.13G222300	GHMT	37.42118172	46.64974598	718.0744448	576.0201631	0.0	0.0	718.0744448	576.0201631	46.64974597891626	37.42118172	1.1165277182712583	1.1165277182256779	0.9999999999381807
Glyma.14G067000	RCA, Chloro	1.2	0.9710660609999999	547.9847087999999	677.1749901000001	0.0	0.0	547.9847087999999	677.1749901000001	0.9710660614664656	1.2	0.8995644078424024	0.8995644080584693	0.9999999999999998
Glyma.15G012500	GLK	1.343210077	0.9520275690000001	385.6634548	544.1302917	0.0	0.0	385.6634548	544.1302917	0.9520275689845297	1.343210077	0.8418571796763671	0.841857179668029	0.9999999999932476
Glyma.15G114600	Cytochrome B	2.0124	1.6255125769999998	2900.522536	3590.874431	0.0	0.0	2900.522536	3590.874431	1.625512577397725	2.0124	0.898687932172458	0.8986879322824748	1.0
Glyma.15G136200	Ri5PI	0.077034884	0.064798538	192.6593045	229.0404626	0.0	0.0	192.6593045	229.0404626	0.06479853823731395	0.077034884	0.9171008056785416	0.9171008073585765	0.9999999999987339
Glyma.16G168000	FBPase	0.46530216700000004	0.395812911	665.2558769999999	782.0487732	-13.512521900000001	-13.5428895	575.3630309293378	676.1367720094185	0.3423286044010495	0.4022868086820846	0.9222733382865762	0.8576676597775599	0.9297890374792807
Glyma.17G015600	AGPase	0.102632112	0.10028983300000001	620.7715355	635.2697188	0.0	0.0	620.7715355	635.2697188	0.10028983260558332	0.102632112	0.9885130541983802	0.988513052252861	0.9999999999999928
Glyma.19G017200	G6PI, Cyto	1.727272727	0.9707559029999999	57.88310172	102.9918053	0.0	0.0	57.88310172	102.9918053	0.9707559029953501	1.7272727270000001	0.7496199832799146	0.7496199832781187	1.0
Glyma.19G022900	SS	0.102632112	0.070707018	320.89780460000003	465.78713480000005	-21.60423433	-22.36296956	251.5702909343905	361.62329963027986	0.05543130830811205	0.07968052403465489	0.829940177308227	0.7347853301925991	0.8810615205540603
Glyma.19G046800	RuBisCO	107.0869611	95.42820347	175.73231869999998	197.2020775	0.0	0.0	175.73231869999998	197.2020775	95.42820347133362	107.0869611	0.943994964568779	0.9439949639720103	0.9999999982034691
Glyma.19G089100	PRK	4.815447396000001	6.3279792939999995	185.9004379	141.465978	0.0	0.0	185.9004379	141.465978	6.327979294080268	4.815447396000001	1.1463612480722585	1.1463612480795038	0.9999999999999577
Glyma.19G251000	VDE, Chloro	0.163	0.09599170900000001	3050.2067039999997	5179.4440939999995	0.0	0.0	3050.2067039999997	5179.4440939999995	0.095991709482481	0.163	0.7673475814947569	0.7673475834237982	0.9999999999999994
